Output for one vs all :

output for rbf:

c= 0.03125 ;gamma= 3.0517578125e-05 ;score= 0.5161290322580645
c= 0.03125 ;gamma= 0.0001220703125 ;score= 0.5161290322580645
c= 0.03125 ;gamma= 0.00048828125 ;score= 0.5483870967741935
c= 0.03125 ;gamma= 0.001953125 ;score= 0.6060606060606061
c= 0.03125 ;gamma= 0.0078125 ;score= 0.6774193548387096
c= 0.03125 ;gamma= 0.03125 ;score= 0.6486486486486487
c= 0.03125 ;gamma= 0.125 ;score= 0.6666666666666666
c= 0.03125 ;gamma= 0.5 ;score= 0.7428571428571429
c= 0.03125 ;gamma= 2 ;score= 0.7419354838709677
c= 0.03125 ;gamma= 8 ;score= 0.6774193548387096
c= 0.03125 ;gamma= 32 ;score= 0.5757575757575758
c= 0.03125 ;gamma= 16 ;score= 0.6571428571428571
c= 0.03125 ;gamma= 64 ;score= 0.5161290322580645
c= 0.03125 ;gamma= 128 ;score= 0.41935483870967744
c= 0.03125 ;gamma= 16 ;score= 0.6571428571428571
c= 0.0625 ;gamma= 3.0517578125e-05 ;score= 0.5161290322580645
c= 0.0625 ;gamma= 0.0001220703125 ;score= 0.5483870967741935
c= 0.0625 ;gamma= 0.00048828125 ;score= 0.5483870967741935
c= 0.0625 ;gamma= 0.001953125 ;score= 0.6774193548387096
c= 0.0625 ;gamma= 0.0078125 ;score= 0.7096774193548387
c= 0.0625 ;gamma= 0.03125 ;score= 0.6486486486486487
c= 0.0625 ;gamma= 0.125 ;score= 0.6666666666666666
c= 0.0625 ;gamma= 0.5 ;score= 0.7428571428571429
c= 0.0625 ;gamma= 2 ;score= 0.7419354838709677
c= 0.0625 ;gamma= 8 ;score= 0.6774193548387096
c= 0.0625 ;gamma= 32 ;score= 0.5757575757575758
c= 0.0625 ;gamma= 16 ;score= 0.6571428571428571
c= 0.0625 ;gamma= 64 ;score= 0.5161290322580645
c= 0.0625 ;gamma= 128 ;score= 0.41935483870967744
c= 0.0625 ;gamma= 16 ;score= 0.6571428571428571
c= 0.125 ;gamma= 3.0517578125e-05 ;score= 0.5161290322580645
c= 0.125 ;gamma= 0.0001220703125 ;score= 0.6129032258064516
c= 0.125 ;gamma= 0.00048828125 ;score= 0.5454545454545454
c= 0.125 ;gamma= 0.001953125 ;score= 0.6129032258064516
c= 0.125 ;gamma= 0.0078125 ;score= 0.7096774193548387
c= 0.125 ;gamma= 0.03125 ;score= 0.6486486486486487
c= 0.125 ;gamma= 0.125 ;score= 0.6666666666666666
c= 0.125 ;gamma= 0.5 ;score= 0.7428571428571429
c= 0.125 ;gamma= 2 ;score= 0.7419354838709677
c= 0.125 ;gamma= 8 ;score= 0.6774193548387096
c= 0.125 ;gamma= 32 ;score= 0.5757575757575758
c= 0.125 ;gamma= 16 ;score= 0.6571428571428571
c= 0.125 ;gamma= 64 ;score= 0.5161290322580645
c= 0.125 ;gamma= 128 ;score= 0.41935483870967744
c= 0.125 ;gamma= 16 ;score= 0.6571428571428571
c= 0.25 ;gamma= 3.0517578125e-05 ;score= 0.5161290322580645
c= 0.25 ;gamma= 0.0001220703125 ;score= 0.6129032258064516
c= 0.25 ;gamma= 0.00048828125 ;score= 0.5757575757575758
c= 0.25 ;gamma= 0.001953125 ;score= 0.6129032258064516
c= 0.25 ;gamma= 0.0078125 ;score= 0.6774193548387096
c= 0.25 ;gamma= 0.03125 ;score= 0.6486486486486487
c= 0.25 ;gamma= 0.125 ;score= 0.6666666666666666
c= 0.25 ;gamma= 0.5 ;score= 0.7428571428571429
c= 0.25 ;gamma= 2 ;score= 0.7419354838709677
c= 0.25 ;gamma= 8 ;score= 0.6774193548387096
c= 0.25 ;gamma= 32 ;score= 0.5757575757575758
c= 0.25 ;gamma= 16 ;score= 0.6571428571428571
c= 0.25 ;gamma= 64 ;score= 0.5161290322580645
c= 0.25 ;gamma= 128 ;score= 0.41935483870967744
c= 0.25 ;gamma= 16 ;score= 0.6571428571428571
c= 0.5 ;gamma= 3.0517578125e-05 ;score= 0.4857142857142857
c= 0.5 ;gamma= 0.0001220703125 ;score= 0.5161290322580645
c= 0.5 ;gamma= 0.00048828125 ;score= 0.6451612903225806
c= 0.5 ;gamma= 0.001953125 ;score= 0.6129032258064516
c= 0.5 ;gamma= 0.0078125 ;score= 0.6774193548387096
c= 0.5 ;gamma= 0.03125 ;score= 0.6756756756756757
c= 0.5 ;gamma= 0.125 ;score= 0.6857142857142857
c= 0.5 ;gamma= 0.5 ;score= 0.7142857142857143
c= 0.5 ;gamma= 2 ;score= 0.7741935483870968
c= 0.5 ;gamma= 8 ;score= 0.6774193548387096
c= 0.5 ;gamma= 32 ;score= 0.5757575757575758
c= 0.5 ;gamma= 16 ;score= 0.6571428571428571
c= 0.5 ;gamma= 64 ;score= 0.5161290322580645
c= 0.5 ;gamma= 128 ;score= 0.41935483870967744
c= 0.5 ;gamma= 16 ;score= 0.6571428571428571
c= 1 ;gamma= 3.0517578125e-05 ;score= 0.5483870967741935
c= 1 ;gamma= 0.0001220703125 ;score= 0.6774193548387096
c= 1 ;gamma= 0.00048828125 ;score= 0.6129032258064516
c= 1 ;gamma= 0.001953125 ;score= 0.6451612903225806
c= 1 ;gamma= 0.0078125 ;score= 0.6774193548387096
c= 1 ;gamma= 0.03125 ;score= 0.6756756756756757
c= 1 ;gamma= 0.125 ;score= 0.6571428571428571
c= 1 ;gamma= 0.5 ;score= 0.6857142857142857
c= 1 ;gamma= 2 ;score= 0.7428571428571429
c= 1 ;gamma= 8 ;score= 0.7741935483870968
c= 1 ;gamma= 32 ;score= 0.5757575757575758
c= 1 ;gamma= 16 ;score= 0.6571428571428571
c= 1 ;gamma= 64 ;score= 0.5483870967741935
c= 1 ;gamma= 128 ;score= 0.41935483870967744
c= 1 ;gamma= 16 ;score= 0.6571428571428571
c= 2 ;gamma= 3.0517578125e-05 ;score= 0.5806451612903226
c= 2 ;gamma= 0.0001220703125 ;score= 0.6451612903225806
c= 2 ;gamma= 0.00048828125 ;score= 0.6129032258064516
c= 2 ;gamma= 0.001953125 ;score= 0.6451612903225806
c= 2 ;gamma= 0.0078125 ;score= 0.6774193548387096
c= 2 ;gamma= 0.03125 ;score= 0.7027027027027027
c= 2 ;gamma= 0.125 ;score= 0.7096774193548387
c= 2 ;gamma= 0.5 ;score= 0.7714285714285715
c= 2 ;gamma= 2 ;score= 0.7741935483870968
c= 2 ;gamma= 8 ;score= 0.8064516129032258
c= 2 ;gamma= 32 ;score= 0.5483870967741935
c= 2 ;gamma= 16 ;score= 0.7096774193548387
c= 2 ;gamma= 64 ;score= 0.5806451612903226
c= 2 ;gamma= 128 ;score= 0.42857142857142855
c= 2 ;gamma= 16 ;score= 0.7096774193548387
c= 4 ;gamma= 3.0517578125e-05 ;score= 0.6451612903225806
c= 4 ;gamma= 0.0001220703125 ;score= 0.6129032258064516
c= 4 ;gamma= 0.00048828125 ;score= 0.6129032258064516
c= 4 ;gamma= 0.001953125 ;score= 0.6451612903225806
c= 4 ;gamma= 0.0078125 ;score= 0.6774193548387096
c= 4 ;gamma= 0.03125 ;score= 0.6571428571428571
c= 4 ;gamma= 0.125 ;score= 0.7419354838709677
c= 4 ;gamma= 0.5 ;score= 0.7714285714285715
c= 4 ;gamma= 2 ;score= 0.7741935483870968
c= 4 ;gamma= 8 ;score= 0.7419354838709677
c= 4 ;gamma= 32 ;score= 0.5714285714285714
c= 4 ;gamma= 16 ;score= 0.6857142857142857
c= 4 ;gamma= 64 ;score= 0.5806451612903226
c= 4 ;gamma= 128 ;score= 0.42857142857142855
c= 4 ;gamma= 16 ;score= 0.6857142857142857
c= 8 ;gamma= 3.0517578125e-05 ;score= 0.6451612903225806
c= 8 ;gamma= 0.0001220703125 ;score= 0.6129032258064516
c= 8 ;gamma= 0.00048828125 ;score= 0.6129032258064516
c= 8 ;gamma= 0.001953125 ;score= 0.6451612903225806
c= 8 ;gamma= 0.0078125 ;score= 0.7096774193548387
c= 8 ;gamma= 0.03125 ;score= 0.7096774193548387
c= 8 ;gamma= 0.125 ;score= 0.7419354838709677
c= 8 ;gamma= 0.5 ;score= 0.7714285714285715
c= 8 ;gamma= 2 ;score= 0.7741935483870968
c= 8 ;gamma= 8 ;score= 0.7419354838709677
c= 8 ;gamma= 32 ;score= 0.5714285714285714
c= 8 ;gamma= 16 ;score= 0.6857142857142857
c= 8 ;gamma= 64 ;score= 0.5806451612903226
c= 8 ;gamma= 128 ;score= 0.42857142857142855
c= 8 ;gamma= 16 ;score= 0.6857142857142857
c= 16 ;gamma= 3.0517578125e-05 ;score= 0.6129032258064516
c= 16 ;gamma= 0.0001220703125 ;score= 0.6129032258064516
