OUTPUT FOR RE-WEIGHTED WEIGHTS:

output for rbf kernel for all c and gamma :

c= 0.03125 ;gamma= 3.0517578125e-05 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 0.0001220703125 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 0.00048828125 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 0.001953125 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 0.0078125 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 0.03125 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 0.125 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 0.5 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 2 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 8 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 32 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 16 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 64 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 128 ;score= 0.34285714285714286
c= 0.03125 ;gamma= 16 ;score= 0.34285714285714286
c= 0.0625 ;gamma= 3.0517578125e-05 ;score= 0.34285714285714286
c= 0.0625 ;gamma= 0.0001220703125 ;score= 0.34285714285714286
c= 0.0625 ;gamma= 0.00048828125 ;score= 0.34285714285714286
c= 0.0625 ;gamma= 0.001953125 ;score= 0.34285714285714286
c= 0.0625 ;gamma= 0.0078125 ;score= 0.48484848484848486
c= 0.0625 ;gamma= 0.03125 ;score= 0.48484848484848486
c= 0.0625 ;gamma= 0.125 ;score= 0.5454545454545454
c= 0.0625 ;gamma= 0.5 ;score= 0.5135135135135135
c= 0.0625 ;gamma= 2 ;score= 0.34285714285714286
c= 0.0625 ;gamma= 8 ;score= 0.34285714285714286
c= 0.0625 ;gamma= 32 ;score= 0.34285714285714286
c= 0.0625 ;gamma= 16 ;score= 0.34285714285714286
c= 0.0625 ;gamma= 64 ;score= 0.34285714285714286
c= 0.0625 ;gamma= 128 ;score= 0.34285714285714286
c= 0.0625 ;gamma= 16 ;score= 0.34285714285714286
c= 0.125 ;gamma= 3.0517578125e-05 ;score= 0.34285714285714286
c= 0.125 ;gamma= 0.0001220703125 ;score= 0.34285714285714286
c= 0.125 ;gamma= 0.00048828125 ;score= 0.34285714285714286
c= 0.125 ;gamma= 0.001953125 ;score= 0.34285714285714286
c= 0.125 ;gamma= 0.0078125 ;score= 0.48484848484848486
c= 0.125 ;gamma= 0.03125 ;score= 0.5454545454545454
c= 0.125 ;gamma= 0.125 ;score= 0.5675675675675675
c= 0.125 ;gamma= 0.5 ;score= 0.5945945945945946
c= 0.125 ;gamma= 2 ;score= 0.5454545454545454
c= 0.125 ;gamma= 8 ;score= 0.34285714285714286
c= 0.125 ;gamma= 32 ;score= 0.34285714285714286
c= 0.125 ;gamma= 16 ;score= 0.34285714285714286
c= 0.125 ;gamma= 64 ;score= 0.34285714285714286
c= 0.125 ;gamma= 128 ;score= 0.34285714285714286
c= 0.125 ;gamma= 16 ;score= 0.34285714285714286
c= 0.25 ;gamma= 3.0517578125e-05 ;score= 0.34285714285714286
c= 0.25 ;gamma= 0.0001220703125 ;score= 0.34285714285714286
c= 0.25 ;gamma= 0.00048828125 ;score= 0.34285714285714286
c= 0.25 ;gamma= 0.001953125 ;score= 0.34285714285714286
c= 0.25 ;gamma= 0.0078125 ;score= 0.4864864864864865
c= 0.25 ;gamma= 0.03125 ;score= 0.5151515151515151
c= 0.25 ;gamma= 0.125 ;score= 0.5945945945945946
c= 0.25 ;gamma= 0.5 ;score= 0.6216216216216216
c= 0.25 ;gamma= 2 ;score= 0.6451612903225806
c= 0.25 ;gamma= 8 ;score= 0.6
c= 0.25 ;gamma= 32 ;score= 0.34285714285714286
c= 0.25 ;gamma= 16 ;score= 0.34285714285714286
c= 0.25 ;gamma= 64 ;score= 0.34285714285714286
c= 0.25 ;gamma= 128 ;score= 0.34285714285714286
c= 0.25 ;gamma= 16 ;score= 0.34285714285714286
c= 0.5 ;gamma= 3.0517578125e-05 ;score= 0.34285714285714286
c= 0.5 ;gamma= 0.0001220703125 ;score= 0.34285714285714286
c= 0.5 ;gamma= 0.00048828125 ;score= 0.34285714285714286
c= 0.5 ;gamma= 0.001953125 ;score= 0.34285714285714286
c= 0.5 ;gamma= 0.0078125 ;score= 0.5151515151515151
